source_row_index,Sample_ID,Sample_Name,Class_Label,Class_Name,feature,shap_value,display_name,feature_value_raw,feature_value_imputed,feature_value_scaled
18,HK,mean.HK,0,Suppressed_or_neutral,OPR_FeP,-1.7405999936564467,ORP x FeP,1.377290893792615,1.377290893792615,1.3749072250956915
19,GL,mean.GL,0,Suppressed_or_neutral,OPR_FeP,-4.87486223696021,ORP x FeP,2.985694695821853,2.985694695821853,3.8506740982245744
20,YC2,mean.YC2,1,Promoted,OPR_FeP,1.200990588005365,ORP x FeP,-0.1322399330124593,-0.1322399330124593,-0.9486674955408608
21,LY,mean.LY,1,Promoted,OPR_FeP,0.3169709562161705,ORP x FeP,0.3214108551039406,0.3214108551039406,-0.25037668587577894
22,YT1,mean.YT1,0,Suppressed_or_neutral,OPR_FeP,-0.9860901968849426,ORP x FeP,0.990100438243366,0.990100438243366,0.7789167765335175
23,CQ,mean.CQ,1,Promoted,OPR_FeP,1.112158174715925,ORP x FeP,-0.0866539608802862,-0.0866539608802862,-0.8784984002292102
24,SY,mean.SY,1,Promoted,OPR_FeP,1.4740905660427037,ORP x FeP,-0.2723861648562719,-0.2723861648562719,-1.1643903120095846
25,TZ,mean.TZ,1,Promoted,OPR_FeP,-0.8823904980971788,ORP x FeP,0.9368850475542592,0.9368850475542592,0.6970039501385034
26,SH1,mean.SH1,1,Promoted,OPR_FeP,0.9721835315529435,ORP x FeP,-0.014823421259034,-0.014823421259034,-0.7679318433428725
27,XN,mean.XN,0,Suppressed_or_neutral,OPR_FeP,-0.6272324056971386,ORP x FeP,0.8059460213730418,0.8059460213730418,0.49545350428018126
28,CF,mean.CF,0,Suppressed_or_neutral,OPR_FeP,-2.402964580688429,ORP x FeP,1.717195355325101,1.717195355325101,1.8981117865554025
29,ATS,mean.ATS,1,Promoted,OPR_FeP,-0.9982541699071165,ORP x FeP,0.9963426027267128,0.9963426027267128,0.7885251497697621
30,YT2,mean.YT2,1,Promoted,OPR_FeP,0.173594518053839,ORP x FeP,0.3949870878376207,0.3949870878376207,-0.1371230368718114
31,JC,mean.JC,1,Promoted,OPR_FeP,1.1865989993516066,ORP x FeP,-0.1248546269623993,-0.1248546269623993,-0.9372995193873671
32,XY,mean.XY,0,Suppressed_or_neutral,OPR_FeP,-0.6863453131411137,ORP x FeP,0.8362808873482873,0.8362808873482873,0.5421470374511207
33,WH,mean.WH,1,Promoted,OPR_FeP,0.27074227365162407,ORP x FeP,0.3451339462264128,0.3451339462264128,-0.2138604558997403
34,TH1,mean.TH1,1,Promoted,OPR_FeP,1.3920349946352246,ORP x FeP,-0.2302778526652807,-0.2302778526652807,-1.0995742724837532
35,YC1,mean.YC1,1,Promoted,OPR_FeP,-1.7286237871091745,ORP x FeP,1.371145085098504,1.371145085098504,1.365447169384389
